filename	count_mme	count_mlle	total
1889-0076	0	0	0
1889-0077	0	0	0
1889-0078	0	0	0
1889-0079	0	0	0
1889-0080	0	0	0
1889-0082	0	0	0
1889-0083	0	0	0
1889-0306	0	0	0
1889-0307	0	0	0
1889-0070	0	0	0
1889-0268	0	0	0
1889-0270	0	0	0
1888-0364	0	0	0
1889-0271	0	0	0
1889-0302	0	0	0
1889-0303	0	0	0
1889-0301	0	0	0
1888-0238	0	0	0
1889-0300	0	0	0
1889-0296	0	0	0
1888-0279	0	0	0
1888-0280	0	0	0
1888-0270	0	0	0
1888-0271	0	0	0
1888-0272	0	0	0
1888-0273	0	0	0
1888-0274	0	0	0
1888-0275	0	0	0
1888-0276	0	0	0
1888-0277	0	0	0
1888-0278	0	0	0
1888-0281	0	0	0
1889-0067	0	0	0
1888-0291	0	0	0
1888-0282	0	0	0
1888-0283	0	0	0
1888-0284	0	0	0
1888-0285	0	0	0
1888-0286	0	0	0
1888-0287	0	0	0
1888-0292	0	0	0
1888-0288	0	0	0
1889-0068	0	0	0
1888-0269	0	0	0
1889-0293	0	0	0
1889-0274	0	0	0
1889-0292	0	0	0
1889-0284	0	0	0
1888-0363	0	0	0
1889-0295	0	0	0
1889-0273	0	0	0
1888-0297	0	0	0
1888-0365	0	0	0
1889-0275	0	0	0
1889-0276	0	0	0
1889-0277	0	0	0
1889-0278	0	0	0
1889-0279	0	0	0
1889-0280	0	0	0
1889-0281	0	0	0
1889-0282	0	0	0
1889-0283	0	0	0
1889-0285	0	0	0
1889-0298	0	0	0
1889-0286	0	0	0
1889-0287	0	0	0
1889-0288	0	0	0
1889-0289	0	0	0
1889-0290	0	0	0
1889-0291	0	0	0
1888-0290	0	0	0
1887-0096	0	0	0
1889-0066	0	0	0
1889-0061	0	0	0
1887-0099	0	0	0
1887-0106	0	0	0
1889-0065	0	0	0
1887-0102	0	0	0
1887-0107	0	0	0
1887-0143	0	0	0
1887-0145	0	0	0
1887-0146	0	0	0
1887-0147	0	0	0
1887-0148	0	0	0
1887-0149	0	0	0
1887-0122	0	0	0
1887-0121	0	0	0
1887-0120	0	0	0
1887-0105	0	0	0
1887-0093	0	0	0
1887-0094	0	0	0
1887-0095	0	0	0
1887-0097	0	0	0
1887-0098	0	0	0
1887-0100	0	0	0
1887-0101	0	0	0
1887-0103	0	0	0
1887-0144	0	0	0
1887-0136	0	0	0
1888-0367	0	0	0
1887-0135	0	0	0
1887-0139	0	0	0
1889-0248	0	0	0
1887-0138	0	0	0
1887-0142	0	0	0
1889-0251	0	0	0
1887-0141	0	0	0
1887-0089	0	0	0
1888-0293	0	0	0
1887-0091	0	0	0
1887-0150	0	0	0
1887-0092	0	0	0
1887-0123	0	0	0
1887-0124	0	0	0
1887-0125	0	0	0
1887-0126	0	0	0
1887-0127	0	0	0
1887-0128	0	0	0
1887-0129	0	0	0
1887-0130	0	0	0
1887-0131	0	0	0
1887-0132	0	0	0
1887-0133	0	0	0
1887-0134	0	0	0
1887-0104	0	0	0
1887-0137	0	0	0
1887-0119	0	0	0
1887-0140	0	0	0
1889-0059	0	0	0
1889-0262	0	0	0
1887-0109	0	0	0
1889-0064	0	0	0
1889-0265	0	0	0
1887-0111	0	0	0
1889-0256	0	0	0
1889-0257	0	0	0
1889-0258	0	0	0
1889-0259	0	0	0
1889-0260	0	0	0
1889-0261	0	0	0
1889-0263	0	0	0
1889-0058	0	0	0
1889-0264	0	0	0
1889-0266	0	0	0
1889-0063	0	0	0
1889-0267	0	0	0
1889-0240	0	0	0
1889-0239	0	0	0
1889-0238	0	0	0
1889-0072	0	0	0
1888-0366	0	0	0
1889-0255	0	0	0
1889-0254	0	0	0
1889-0247	0	0	0
1887-0116	0	0	0
1887-0108	0	0	0
1889-0250	0	0	0
1888-0235	0	0	0
1887-0110	0	0	0
1889-0253	0	0	0
1889-0269	0	0	0
1887-0112	0	0	0
1887-0113	0	0	0
1887-0114	0	0	0
1887-0115	0	0	0
1887-0117	0	0	0
1889-0246	0	0	0
1887-0118	0	0	0
1888-0237	0	0	0
1889-0249	0	0	0
1889-0329	0	0	0
1889-0241	0	0	0
1889-0252	0	0	0
1889-0242	0	0	0
1889-0243	0	0	0
1889-0244	0	0	0
1889-0245	0	0	0
1888-0289	0	0	0
1896-0326	0	0	0
1896-0300	0	0	0
1896-0397	0	0	0
1896-0367	0	0	0
1896-0122	0	0	0
1896-0277	0	0	0
1896-0278	0	0	0
1896-0279	0	0	0
1896-0281	0	0	0
1896-0297	0	0	0
1896-0282	0	0	0
1896-0283	0	0	0
1896-0285	0	0	0
1896-0286	0	0	0
1896-0287	0	0	0
1896-0288	0	0	0
1896-0289	0	0	0
1896-0290	0	0	0
1896-0291	0	0	0
1896-0293	0	0	0
1896-0294	0	0	0
1896-0296	0	0	0
1896-0328	0	0	0
1896-0330	0	0	0
1896-0113	0	0	0
1896-0331	0	0	0
1896-0368	0	0	0
1896-0369	0	0	0
1888-0294	0	0	0
1896-0312	0	0	0
1896-0128	0	0	0
1896-0311	0	0	0
1896-0121	0	0	0
1896-0120	0	0	0
1896-0313	0	0	0
1896-0314	0	0	0
1896-0315	0	0	0
1896-0316	0	0	0
1896-0317	0	0	0
1896-0318	0	0	0
1896-0319	0	0	0
1896-0320	0	0	0
1896-0321	0	0	0
1896-0322	0	0	0
1896-0323	0	0	0
1896-0324	0	0	0
1896-0325	0	0	0
1896-0327	0	0	0
1896-0299	0	0	0
1896-0280	0	0	0
1896-0115	0	0	0
1896-0116	0	0	0
1896-0117	0	0	0
1896-0118	0	0	0
1896-0119	0	0	0
1896-0371	0	0	0
1896-0372	0	0	0
1896-0342	0	0	0
1896-0373	0	0	0
1896-0344	0	0	0
1896-0374	0	0	0
1896-0334	0	0	0
1896-0335	0	0	0
1896-0336	0	0	0
1896-0337	0	0	0
1896-0338	0	0	0
1896-0339	0	0	0
1896-0341	0	0	0
1896-0343	0	0	0
1896-0356	0	0	0
1896-0346	0	0	0
1896-0358	0	0	0
1896-0349	0	0	0
1896-0364	0	0	0
1896-0350	0	0	0
